year,count_96,count_64,count_35
1950,11.5,38.0,59.5
1951,3.75,23.25,41.75
1952,2.5,14.25,27.0
1953,3.25,14.25,44.0
1954,7.0,20.5,45.0
1955,8.5,33.0,59.25
1956,1.75,10.75,29.5
1957,0.5,5.5,22.75
1958,3.75,16.75,41.5
1959,3.25,12.25,36.25
1960,6.75,12.0,27.0
1961,13.75,24.75,46.25
1962,0.0,11.25,25.75
1963,3.75,22.75,35.75
1964,8.75,33.0,53.5
1965,6.25,9.75,21.0
1966,8.75,25.75,36.5
1967,5.75,18.5,28.75
1968,0.0,7.5,20.5
1969,4.75,24.5,49.75
1970,1.0,6.0,20.5
1971,1.0,17.25,46.25
1972,0.0,2.75,17.5
1973,0.0,3.25,20.5
1974,3.5,10.5,31.75
1975,2.25,11.5,25.0
1976,0.75,3.75,15.25
1977,1.0,5.25,13.25
1978,3.0,8.0,22.0
1979,4.25,11.75,28.25
1980,6.25,9.5,22.25
1981,2.25,11.0,36.0
1982,0.75,4.0,11.0
1983,0.25,2.25,11.25
1984,0.75,11.5,32.0
1985,4.0,18.25,41.5
1986,0.0,2.25,12.75
1987,0.5,2.25,12.5
1988,6.5,12.25,28.5
1989,3.5,12.5,26.0
1990,0.0,9.25,25.5
1991,1.25,7.25,14.5
1992,3.5,5.0,17.0
1993,0.75,7.5,20.25
1994,0.0,1.0,16.0
1995,7.25,34.5,63.0
1996,9.25,29.5,50.0
1997,1.75,5.5,18.0
1998,8.0,27.5,42.5
1999,7.5,26.75,47.0
2000,1.25,10.0,30.25
2001,3.75,15.75,42.0
2002,3.0,8.75,42.25
2003,7.5,14.5,40.5
2004,14.0,26.75,51.5
2005,17.25,37.25,82.25
2006,0.0,3.75,21.25
2007,6.0,10.5,25.25
2008,5.5,23.25,64.75
2009,1.25,5.75,13.25
2010,4.25,21.0,51.75
2011,4.5,19.25,60.0
2012,0.25,12.25,48.0
2013,0.0,1.5,14.0
2014,3.25,12.0,24.25
2015,3.5,7.25,19.75
2016,8.75,16.25,42.5
2017,12.25,32.25,59.75
2018,4.0,9.0,24.25
2019,6.25,14.25,39.25
2020,5.5,28.0,81.0
